,preprocessed,category
7456,мак изд мелисса паста детская свинка пеппа грамм пл упаковка,бакалея
11438,чай принцесса нури высок б н пак грамм,чай_и_сладкое
7701,шоколад alpen gold молочный грамм,чай_и_сладкое
9576,сырок тв вкуснотеево гл прем ванил процент грамм,молочка
4281,пакет лента средний майка кг,упаковка
4439,мыло олив молоч грамм,для_дома
10099,лес бал опол форте д дес мл,здоровье
6075,туалетная бумага просто азбука,для_дома
2239,перчик пепперончини,кафе
673,акт биойог черн зл с льна грамм,молочка
723,сметана молочная ферма,молочка
8072,север гавань икра мойвы дел коп,гастрономия
423,батончик corny big кокос шоколад грамм,чай_и_сладкое
11662,мак изд рожок витой n мальтальяти грамм,бакалея
5530,мозырское молоко пастеризованный процент литр ф п мозырские мп,молочка
8363,услуги парковки,машина
11143,чипсы lay s strong креветка грамм,снеки
3823,грамм яйцо шоколадный киндер сюрп девоч,дети
937,перец красный сладкий кг,овощи_и_фрукты
4496,соус соевый перец чеснок чин су грамм пл бутылка,бакалея
1988,паkет бутыл x х,упаковка
3452,бананы кг,овощи_и_фрукты
8231,sorti ср во д мыт пос масло розы,для_дома
9810,ф о баклажаны тепличные фасованный упаковка,овощи_и_фрукты
9136,коктейль чудо клубника,дети
7172,патрон стойка е белый наклонный,для_дома
10777,виноград светлый вес,овощи_и_фрукты
6419,пакет майка атак,упаковка
1541,пакет пятерочка х см,упаковка
9945,багет хрустим сырное ассорти,хлеб
9699,чипсы pringles сметана лук сыр,снеки
7651,имбирь кг,овощи_и_фрукты
8709,аск кисл витам с м,здоровье
9432,маска пластырь для губ tonymoly kiss kiss грамм,косметика
4571,роялс нанокингс сигареты мрц бат,табак
8804,циkорий грамм целебниk,бакалея
12415,кетчуп хайнц томатный грамм дой п,бакалея
11156,жевательный рез orbit сладкая мята драже грамм,здоровье
9163,грейпфрут красный кг,овощи_и_фрукты
10318,уkроп грамм паk,овощи_и_фрукты
6602,ящик для инструменто,для_дома
6402,тп мтс smart б литр kом ts,услуги
6083,чудо молочное ваниль процент литр,молочка
5420,пакет пятерочка х см,упаковка
7866,kуроч запеч сыр грамм,кулинария
2781,felix корм ап кус д в ин печ грамм,животные
4168,мл make up expert чёрная пен,косметика
8735,масло подсол з с литр,бакалея
10519,без наименования,не_определена
2956,сигареты вест блю компакт,табак
5965,папка конверт а на кнопке пластик м,для_дома
334,горбуша морей натуральная грамм,гастрономия
2088,к ц масло крест сливочный процент грамм,молочка
6572,хлеб белый первым делом,хлеб
12154,пластилин цв грамм неон artberry алоэвера офиспре,дети
9609,sula леденцы без сахара лесные ягоды кг ван м,чай_и_сладкое
7556,соус кисло сладкий чили промо,кафе
1043,пакет перекресток майка х см,упаковка
5522,сигареты winston xs,табак
10522,harper hb black спортивная повязка с bluetooth гарнитурой,компьютер
4644,кран вн,для_дома
953,мешки русалочка литр штука,для_дома
593,nesc кофе sens espr нат рас грамм,чай_и_сладкое
10839,риттер белый лесн ор,чай_и_сладкое
13293,батон нарезной нарезка п э грамм,хлеб
10840,риттер темн лесн оре,чай_и_сладкое
5301,ecof arm аджика грамм,бакалея
2962,пакет пятерочка х см,упаковка
13169,в салфетки aura family антибактер штука,для_дома
5599,пакеты д зам повыш прочн см литр штука пластиктр,для_дома
6532,пакет майка дикси х пнд,упаковка
8979,пиво хейнекен светлое литр ж б россия,алкоголь
5281,сметана процент грамм,молочка
5042,бананы вес кг,овощи_и_фрукты
1593,подставка д зубн щеток aqua сн,для_дома
10349,аи k ge neo,машина
6772,попкорн свч соль грамм,гастрономия
11020,ромовая баба аладушкин шоколадный глазур штука,чай_и_сладкое
11023,сметана пискаревский процент стак грамм,молочка
10412,каравай ролл пшеничный в с грамм,хлеб
6806,kд базилиk грамм,бакалея
5353,апельсины отборные фасованный кг,овощи_и_фрукты
6885,пакет покупочка,упаковка
3198,воппер,кафе
13663,сдоба детская жаворо,чай_и_сладкое
4331,gls s jl купальник для девочек gir,одежда_и_обувь
7827,яблоки румяное крым фасованный кг,овощи_и_фрукты
8845,ломтик сыра,кафе
8063,продукт сырный плавленый выбор,гастрономия
1138,квас никола литр пэт дека,напитки
13437,авамис спрей назальный мкг доза доз,здоровье
9995,фасоль kрасная в с с россана грамм,овощи_и_фрукты
3927,живые ядра подсолн жар сол грамм,снеки
13225,огурцы бакинские грамм,овощи_и_фрукты
2555,хлеб дарницкий грамм,хлеб
10468,грамм ц беляши вес,кулинария
5954,пакет майка,упаковка
9710,винт din нерж а х,для_дома
10173,п гурм пицца ветч грибы грамм,гастрономия
5211,мыло жидкое русские травы мл огуречное с дозат к,для_дома
4131,грамм бифдумбактерин жив бакт,бакалея
3990,капуста кг,овощи_и_фрукты
3979,карамель конфитрейд грамм,чай_и_сладкое
3481,яблоки свежий урожай цена за кг,овощи_и_фрукты
2785,фн пюре из инд с овощ грамм,дети
13637,шоколад горький эко,чай_и_сладкое
9985,морковь мытая вес кг,овощи_и_фрукты
8853,молочный пастеризованный процент пленка литр,молочка
9448,йогурт питьевой epica гранат а,молочка
11929,меновазин мл р р,здоровье
10869,полотенца бумаж мягкий знак deluxe сл рул,для_дома
5945,вода красный ключ литр газированный а россия,напитки
1189,хлеб лионский штука,хлеб
5823,гэрен прст банн,для_дома
4222,грамм фк краска д бровей коричн,косметика
7810,колбаса лента докторск гост ц о вареная вес,гастрономия
2435,пицца баварская см,кафе
1296,мусс творожный с вишней штука,молочка
12658,продукт кислом бифилайф процент грамм груша с мес бр гормол,молочка
9083,пиво шихан живое процент литр пэт,алкоголь
7065,сельский хлеб весовой,кафе
10227,чипсы pringles супер сырный начо грамм,снеки
4341,кофта девочка а,одежда_и_обувь
74,п у лс,не_определена
4143,термос клетка мл,для_дома
6613,пирожок вишневый,кафе
8566,бизнес ланч,кафе
3976,апельсины кг,овощи_и_фрукты
6209,календарь карманный,для_дома
3824,грамм п йогурт агуша злаки процент,молочка
8320,накидка для стрижки,услуги
3741,нап пив velkopop kozel тем ж б процент l,алкоголь
4967,капуста брокколи зам кг,овощи_и_фрукты
11972,суп картофельный с горохом,кафе
9002,уксус золотой налив бальзамич процент мл,бакалея
9897,сосиски баварские с сыром в с грамм пит,гастрономия
9258,раст твор клуб абр са д х грамм,молочка
5504,kорм гурме лос цыпл,животные
1278,семга грамм филе кус с с ву риk,гастрономия
11402,вода мин ессентуки гост l,напитки
8758,разрыхлитель штука грамм,бакалея
3592,й т царка киви грамм,молочка
12631,сухарики ржано пшеничные окей,снеки
1446,акция подарочный купон,услуги
9334,пакет твое п,упаковка
13465,чай трав х грамм,чай_и_сладкое
13346,жевательная резинка орбит белоснежный классический,здоровье
12925,б п молочный пит пастеризованный процент мл,молочка
6830,чупа чупс мороженое,чай_и_сладкое
13074,освежитель воздуха glade после,для_дома
11342,д п вода агуша для детей мл,дети
12378,салат из морских водорослей чу,кулинария
4212,ek клей карандаш magic грамм,для_дома
8997,лимоны вес кг,овощи_и_фрукты
4359,салфетки лента disney влажн д детей штука,для_дома
11302,морковь эконом вес кг,овощи_и_фрукты
6409,капуста краснокочанная кг,овощи_и_фрукты
11150,коктейль молочный вятск дым какао процент п п,молочка
39,kартофель фри большая,кафе
12839,горчица махеевъ русская грамм,бакалея
8017,грейпфрут красный кг,овощи_и_фрукты
895,круг абразивный на липучке мм зерно штука santool,для_дома
11705,слобода масло подсолн раф литр,бакалея
653,лимоны кг,овощи_и_фрукты
2078,сигареты rothmans деми пачка,табак
1829,хлеб тостовый зерновой грамм ла,хлеб
11276,майонез усть сысол маслоп процент д п грамм,бакалея
11590,пакет фасовочнный пнд х см,упаковка
4203,штука пакет metro майка fl,упаковка
11353,нектар фруктовый сад яблочн осветл l,напитки
12527,страна сметания сметана процент кг ф,молочка
1773,гель д ст детский мл,косметика
13611,аи к трк,машина
13345,картофель импорт сетка кг,овощи_и_фрукты
8092,пюре яблоко грамм фрутоняня p,дети
7271,стародв колб серв зерн в к грамм,гастрономия
7966,пиво шпатен мюнх св ж б литр,алкоголь
91,пакет пятерочка х см,упаковка
6810,суп борщ сиб грамм худ,бакалея
8821,кабачки кг,овощи_и_фрукты
6612,кекс маффин шоколадный с чер,кафе
7026,кабачки фасованный лоток,овощи_и_фрукты
3584,nan,не_определена
12612,kорень имбиря,овощи_и_фрукты
13042,cheetos кукуруз палочка вкус кетчуп,снеки
9238,яблоки гренни смит кг,овощи_и_фрукты
9403,пакет с петлевой ручкой штука ял,упаковка
3077,смк ряженка процент литр ф п смк,молочка
5407,клевер молоко пастеризованный процент литр тфа,молочка
5619,набор шариковых ручек стамм orange цв стамм,для_дома
205,паста nutella орех с доб какао грамм,чай_и_сладкое
5585,actimel продукт к м процент виш череш имб грамм п бутылка,молочка
4407,печенье сахарное сгущенка грамм,чай_и_сладкое
7900,крем alpengurt премиум грамм,гастрономия
1179,kефир процент штука,молочка
8670,кукуруза почат грамм,овощи_и_фрукты
12997,кристальный родник вода негазированный литр пл бутылка дикомп,напитки
6270,бр в ассор,кафе
11382,пирог с творогом и вишней вес,чай_и_сладкое
5384,хлеб крестьянский подовой рж пш к,хлеб
8010,сок добрый яблочный литр,напитки
2536,чaй oриmи трэйд пp hуpи выcoко,чай_и_сладкое
3050,конфеты шоколадные к,чай_и_сладкое
9974,тенд сахар песок сахар бел кг,бакалея
12502,мясо по албански,кафе
8372,консервы китекат с курицей в с,животные
8433,мюсли ого запеченные с банано,бакалея
8388,пакет пятерочка х см,упаковка
30,оboщи tоmaт tепличный,овощи_и_фрукты
11756,конфеты крокант грильяжные с мин,чай_и_сладкое
9108,ряженка процент грамм,молочка
7911,мандарины кг,овощи_и_фрукты
3147,фундук dolce albero жареный грамм,овощи_и_фрукты
2338,дск огурцы среднепл колюч к,овощи_и_фрукты
13634,хлеб богородский нар,хлеб
5133,kолготки женские иннаморе белла д р,одежда_и_обувь
3905,чудо йогурт пит дыня манго перси,молочка
4017,makfa макар виток грамм,бакалея
11568,пакет майка белый большой амбар,упаковка
6372,проkл kи гиг comt kд,здоровье
11668,творог обезжиренный грамм фольга бмк,молочка
12844,рукав paclan м см,для_дома
3775,lor палоч saltl сол клас грамм,снеки
548,чипсы lay s со вкус молод зеленого грамм,снеки
8986,паста процент вишня,чай_и_сладкое
12957,масло сливочное романов луг тр,молочка
6039,масло altero подсолнечное мл,бакалея
12554,лимон кг кнр,овощи_и_фрукты
13301,томаты кг,овощи_и_фрукты
4649,почвогрунт для комнат,для_дома
12068,юбил печ с глазурью грамм,чай_и_сладкое
5265,колбаса брауншв вес,гастрономия
7803,лепешка сырная с зеленью и чесноком вес,хлеб
2901,рычал су мин вода газированный литр пэт рыч,напитки
11122,ж мыло palmolive гурмэ спа персик шербет,для_дома
8476,топфейслакpt,косметика
11960,зубная паста splat отбеливание плюс м,здоровье
666,кр цена хлеб белый в с грамм,хлеб
12179,глубокое молоко сгущ гост процент грамм ж б глубокский,чай_и_сладкое
12749,гель д д мож папор м,косметика
4747,плед флис наталия сер бел x,для_дома
7850,газированный аргументы и фаkт,для_дома
867,яблоки свежий урожай цена за кг,овощи_и_фрукты
3784,нап пив с кор вк лайм ст б литр,алкоголь
13401,сметана процент кд грамм,молочка
4810,хлеб минский особый нарезанный п п грамм,хлеб
5409,киви кг,овощи_и_фрукты
13050,вата муми сласти сахарная грамм,чай_и_сладкое
4838,масло тысяча озер грамм,молочка
3251,масло грамм коровка из кореновки процент сл,молочка
5618,овощечистка нерж сталь с пласт ручкой си,для_дома
5968,пакет упаковочный новый книжный читай грамм,упаковка
5046,печенье лента сдоб какао пай шоколадный грамм,чай_и_сладкое
11932,масло косметич можжевельника мл,косметика
2680,пиво фленс пилс литр,алкоголь
611,жевательный драже ментос грамм в ассорт,здоровье
641,напиток б а nestea хол чай зеленый цитрус,напитки
4779,сыр tilziter tilzit грамм,гастрономия
6413,контейнер бытпласт секц литр,для_дома
10034,сосиски молочные с грамм пмк,гастрономия
3820,литр сок яблоко персик фн,напитки
11252,напиток к м neo имунеле вит земл процент грамм,молочка
9360,сдоба черемушки грамм,чай_и_сладкое
459,ирис дней тираженный сливочный грамм,чай_и_сладкое
10793,нуга ростагроэкспорт глаз арах,чай_и_сладкое
139,кефир сыктывкарский мз процент т п мл,молочка
9379,чай tess черный х грамм,чай_и_сладкое
3605,бумага туалетная нега двухслойная рулон,для_дома
1671,круассан с шоколадной начинкой грамм,чай_и_сладкое
11411,творог вятск дымка двуреч фасованный процентф п,молочка
4053,мандарины свежие цена за кг,овощи_и_фрукты
7929,десерт твор danone данисмал шоколадный процент грамм,молочка
11971,сырная палочка,кафе
4424,cleanok туал бум ром,для_дома
6312,киндер макси кинг грамм,дети
3889,пакет монетка,упаковка
9748,ветчина славница нежная ту вес,гастрономия
4681,kант artens ясень х х м pp,для_дома
3034,чудо ягода мармелад мал брус чер,молочка
4294,сыр денмакс расс брынза болгарская грамм,гастрономия
120,крабовые пал vici сочные имит охлажденный грамм,гастрономия
4287,оливки дней зеленые б к мл,овощи_и_фрукты
8397,сила моря крем с крас икр грамм,гастрономия
3027,сметана процент грамм,молочка
1838,крупа гречневая увелка грамм пак грамм,бакалея
8815,веселый молочник ряженка процент грамм т рекс вбд,молочка
10081,сыр голден чиз мдж процент беларусь,гастрономия
5316,хлеб белый новый в с грамм жтк,хлеб
1078,огурцы среднеплодные гладкие вес,овощи_и_фрукты
11396,корм д кошек felix дв вкус с индей и печ,животные
5869,картофель кг,овощи_и_фрукты
11930,кр ц сыр с зам молочный ж гл черн грамм,гастрономия
2276,газированный нап черноголовка литр дюшес ст б,напитки
10639,сыр пл дружба грамм,гастрономия
681,сигареты кемел пачк,табак
7001,сыр российсk терт kд,гастрономия
5014,картофель сетка фасованный грамм,овощи_и_фрукты
11659,тунец премиум цел в с с грамм ключ ж б беринг,рыба
7391,шейка микоян московская к в нар грамм,гастрономия
9313,набор д борща свиной зам кг,бакалея
5088,сыр коса копченый процент грамм гиа,гастрономия
9060,пакет майка пнд см,упаковка
4595,приправа cykoria s a карри грамм,бакалея
11016,грамм ц вареники с картофелем и грибами вес,кулинария
11596,из сыктывкара молоко пастеризованный процент,молочка
4310,пакет с логотипом,упаковка
8995,перец светофор вес ф,овощи_и_фрукты
8080,хлеб бородинский порция грамм,хлеб
660,фр сад сок томат сах сол литр,напитки
6385,лук репчатый свежий цена за кг,овощи_и_фрукты
3914,твой рожок сырок гл в вафельный рожке мали,молочка
8219,хлеб чесночный грамм,хлеб
3685,слойка с ветчиной и сыром грамм,гастрономия
12224,lucky days ярче kарамель фруктов ас,чай_и_сладкое
241,пиво балтика экспортное св,алкоголь
13159,ролл лента цезарь грамм,кулинария
13144,круассаны days mini какао грамм,чай_и_сладкое
8206,сыр сулугуни процент грамм,гастрономия
10036,хлеб злаков покровский хлеб,хлеб
5609,бананы свежий цена за кг,овощи_и_фрукты
498,биойог danone актив вишня чиа процент грамм,молочка
12680,молоко процент литр стародуб,молочка
1,econta мешки д мусора литр штука,для_дома
2353,спз фаготтини с клубн нач грамм,чай_и_сладкое
11007,рожок обсыпной в с кг гуп с,чай_и_сладкое
13328,грейпфрут вес,овощи_и_фрукты
1897,тенд сахар песок сахар бел кг,бакалея
10726,пакет с прорубной ручкой с логотипом,упаковка
13154,кальмар дней кольца грамм,гастрономия
7375,пакет лента майка кг,упаковка
13221,багет прованс грамм,хлеб
3655,картофель урожай,овощи_и_фрукты
9180,печенье сахарное шоколадное грамм келлог рус,чай_и_сладкое
4451,конфеты родные просторы грамм,чай_и_сладкое
13371,каша пшеничная грамм,кафе
5904,big bon лапша в контейн курица соус сальса грамм ро,бакалея
1920,вода д утюг литр clean,для_дома
6076,bonduelle капуста брокколи грамм,овощи_и_фрукты
13275,пиво velkopopovicky kozel дарк тем l,алкоголь
10006,kоньяk kиновсkий лет литр,алкоголь
11717,воппер,кафе
4208,грамм fl коктейль в масле,гастрономия
3271,крекер грамм тук со вкусом пиццы мондэлис,снеки
9736,тонус питьевой сладкий грамм,напитки
9723,клей монтажный m,для_дома
10217,пакет магнит желтый красный п,упаковка
11203,булочка с корицей и карамел сиропом вес,чай_и_сладкое
12404,д п пюре тема говядина с рисом грамм,дети
8310,пудинг гранд десерт шоколад процент грамм эрманн германия,молочка
11209,томаты вес кг,овощи_и_фрукты
3919,нап пив mil gen dr ст б литр,алкоголь
6084,лук репчатый белый кг,овощи_и_фрукты
10112,кефир км ж процент грамм пл кунгур,молочка
1139,фольга особопрочная ммх м русал саянская фоль,для_дома
4684,упаков лента ммх м unibob прозр,для_дома
5768,бананы свежий цена за кг,овощи_и_фрукты
11698,чудо десерт твор экз фр грамм,молочка
8474,леноркондмигдал литр,для_дома
12138,крупа пмжл рис пропаренный шлифованный с грамм,бакалея
9291,сахар фасованный кг,бакалея
11519,вmолк kоктeйль мoлoчhый манго дыhя,молочка
2207,горбуша х к б грамм рыбныйдвор,гастрономия
6377,зелпм kа х х,упаковка
13662,огурцы гладкие,овощи_и_фрукты
345,спринг ролл с курицей,кафе
8964,шоколад альпен голд грамм с орехом и изюмо,чай_и_сладкое
7723,слобода йогурт питьевой пастеризованный персико,молочка
7600,грибы шампиньоны вес кг,овощи_и_фрукты
10540,соль адыгейская грамм,бакалея
9794,виноград черный кг,овощи_и_фрукты
13180,пакет лента средний майка кг,упаковка
4840,карбонад б мдб к в вакуумная упаковка грамм,гастрономия
7475,сметана простоквашино процент грамм,молочка
9210,сметана домик в деревне процент м ст грамм,молочка
8907,коров из корен сырок гл вареная сг молочный процент грамм кореновс,молочка
4896,ролл аляска,кулинария
2446,leor салат приятный грамм,кулинария
9909,мякоть pomito помидора грамм,овощи_и_фрукты
8309,сметана гост процент грамм ведро кмз россия,молочка
965,т бумага papia сл,для_дома
4888,помидоры черри миkс грамм мароkkо,овощи_и_фрукты
7815,сыр костромской процент вес кг,гастрономия
9593,напиток coca cola литр,напитки
5593,слобода майонез на перепелиных яйцах процент грамм д п,бакалея
11566,nesquik kакао пласт упаковка вит грамм,чай_и_сладкое
8043,aos гель д мытья посуды фито мл н,для_дома
3371,зелень лук в упаковке грамм,овощи_и_фрукты
461,булочка дней сдобная грамм,чай_и_сладкое
11115,аква минерале вода негазированный литр,напитки
4182,грамм корнишоны по франц дядя в,овощи_и_фрукты
5720,actimel прод к м клюк малина чабрец процент гпэт дан,молочка
11909,радость вкуса российский сыр процент,гастрономия
12388,вода святой источник литр,напитки
12811,яйцо kinder surprise грамм,дети
13480,чист гель д kухни,для_дома
12798,kонверт нп с без иллюстрац лента клеев kуда kому пол,для_дома
5236,паштет атяшево печеночный охлажденный грамм,гастрономия
36,cырkи вmолk с apoматоm ванили tb,молочка
8974,аи к n,машина
817,макароны ameria рожки рифлен грамм,бакалея
2663,пирожн канцлер х грамм,чай_и_сладкое
5664,lucky days сдобные палочки с землян джем грамм п п т,чай_и_сладкое
8637,капуста цветная свежая кг,овощи_и_фрукты
482,смесь maggi на второе соч куриный чесн,бакалея
201,российский сыр в кз поречский,гастрономия
10693,кефир процент грамм,молочка
7082,морковь мини грамм,овощи_и_фрукты
2501,чай ч чабр грамм ахма,чай_и_сладкое
835,яблоки гала фасованный кг,овощи_и_фрукты
9754,набор пирожных mirel муравейник грамм,чай_и_сладкое
4040,творог процент грамм,молочка
862,полотенце махровое,для_дома
9745,д п пюре тема говяд брок морк рис грамм,дети
988,мясн пр карбонад славянский в к в мини вакуумная упаковка диетпро,гастрономия
10194,pepsi нап wild cherry с грамм литр,напитки
609,семечки белые жареные соленые чико грамм,снеки
4506,мак изд шебекенские спагетти грамм,бакалея
7046,kапуста пц вес,овощи_и_фрукты
3795,конд е вост сон литр,косметика
2669,пряник сувенир,чай_и_сладкое
715,свекла кг,овощи_и_фрукты
5882,chesters сидр грушевый газированный процентслад литр ст бутылка агро,алкоголь
9679,вмк грудинка охотничья в к грамм,гастрономия
3961,губkа д тела массаж,для_дома
4867,w футболка,одежда_и_обувь
4934,пиво бад светлое алк мл c б,алкоголь
9074,аи k ultra,машина
6496,comet чистящий порошок лимон п э пак,для_дома
3797,пиво бад светлое,алкоголь
12278,геркулес грамм грамм,бакалея
6022,торт mirel медовый абрикос грамм,чай_и_сладкое
1824,стеклоомыв globus,машина
8354,гарнир,кафе
13595,биойогурт danone актив черника процент,молочка
3707,набор пир муравейник мирель грамм,чай_и_сладкое
7483,пакет майка самбери х мкм белый,упаковка
10716,ночник dtl,для_дома
6403,семена red coq грамм,для_дома
6945,хлеб геркулес с отрубями грамм,хлеб
8398,русский узвар из груши дички литр,напитки
764,растишка йогурт клубника грамм данон,молочка
11224,плюшка московская грамм,чай_и_сладкое
1641,йола колбаса докт вареная в с грамм,гастрономия
5929,лаваш армянский элитный грамм ип григорян россия,хлеб
13246,хлеб сыктывкархлеб пшеничный с форм,хлеб
10031,сыр российский молодой кез мдж,гастрономия
5979,весна мыло жидкое крем мыло олива миндаль персик грамм,для_дома
5918,прост молочный пастеризованный процент мл,молочка
1333,сыр риккотта мягkий штука,гастрономия
10591,сельдерей листовой,овощи_и_фрукты
6571,десерт первым делом какао арах,чай_и_сладкое
11247,рис дней круглозерный грамм,бакалея
11707,мааг финики с косточкой грамм,чай_и_сладкое
4274,картофель по деревен,кафе
4687,угол внутренний artens бергамо штука мм,для_дома
3589,булочка арб сыр х,хлеб
6867,сыр дружба плавлен кг фоль,гастрономия
1221,b руккола грамм пл упаковка,овощи_и_фрукты
10024,сервелат зернистый в к грамм пмк,гастрономия
1832,печенье американер классически,чай_и_сладкое
2449,блин фаршированный творогом грамм,кулинария
1050,семена степановна грамм,снеки
4290,мюсли дней хруст с семеч в меду грамм,бакалея
1916,зелпм ка х х,для_дома
206,гель д д и шамп axe гладкое очищ мл,косметика
4180,грамм клюква шармэль в сах пудр,чай_и_сладкое
12935,пакет магнит желтый красный пластиктрейд,упаковка
13268,гель д д dove чистота и комфорт мл,косметика
5920,бр литр масло сл сл в с процент грамм,молочка
10703,пиво зол бочка литр,алкоголь
11614,зелень ассорти лук укр петр грамм,овощи_и_фрукты
7654,булочка ромашка с кунжутом кг сп гм,чай_и_сладкое
13105,кукуруза соток мл,овощи_и_фрукты
6272,прокладки гигиенические ультра драй супер штука kotex,здоровье
2776,фн пюре из яблочный бан грамм со зл грамм,дети
8849,пакет пятерочка х см,упаковка
2630,расческа дерев круг,косметика
6690,сушилка д белья на батарею ника м сб,для_дома
9989,lays чипсы max вк куриный кр бар грамм,снеки
1264,пакет майка магнолия,упаковка
13491,паkет майkа,упаковка
10903,неkтар ананас kд,напитки
4267,картофель фри мал,кафе
10517,мандарины вес,овощи_и_фрукты
2100,молоко пастеризованный процент литр ф п ирбит,молочка
12605,томаты бакинские грамм,овощи_и_фрукты
5376,йогурт фруктовый чудо со вкусом,молочка
1655,носки детский шерсть укороч р стильная шерсть,одежда_и_обувь
12817,лаваш ржевка хлеб грамм,хлеб
1803,изюм свет крупный ве,чай_и_сладкое
717,пакет с логотипом,упаковка
4598,бананы вес кг,овощи_и_фрукты
6047,апельсины кг,овощи_и_фрукты
12285,лук репчатый вес,овощи_и_фрукты
6537,яблоки голден вес,овощи_и_фрукты
7411,рыба кета спинка холодного коп,гастрономия
2275,мин вода сенежская литр негазированный,напитки
7051,джем черниkа ст б,чай_и_сладкое
583,kinder milk slice пирожное,чай_и_сладкое
11973,картофель отварной,кафе
4249,вино легенда крыма кр полусладкое литр вэлла,алкоголь
5652,фруктовый сад морс клюквенный литр т пак лебедянс,напитки
12993,на здоровье пшеница воздуш карамель грамм вологод,снеки
3257,колбаса кг черкизовский премиум фелино,гастрономия
722,сыр голландский народн,гастрономия
11472,йогурт epica персик маракуйя,молочка
10425,рязан мука пшен х п в с кг,бакалея
3128,сибирская корона,кафе
6257,сахарная пудра грамм славная трапеза,бакалея
943,томаты черри грамм,овощи_и_фрукты
1877,к ц вода пит очищ кат н грамм литр,напитки
8801,творог kласс процент грамм,молочка
4662,смеситель кухонный,для_дома
4,зер сел сухари с изюмом грамм,чай_и_сладкое
6649,пакет флагман маечка,упаковка
247,ирис золотой ключик грамм,чай_и_сладкое
6374,асkорбин с глюkоз,здоровье
5389,гематоген русский детский грамм фарм,здоровье
8905,коровка из кореновки сырок глаз ван процент грамм кореновс,молочка
152,бананы кг,овощи_и_фрукты
1651,бананы кг эквадор,овощи_и_фрукты
4912,порция из птицы суп пюре,кафе
10192,шарлиз пастила ассорти грамм,чай_и_сладкое
6241,помело вес,овощи_и_фрукты
5616,вкуснотеево масло сливочный традицион процент грамм вороне,молочка
8551,тунец морской котик филе в мас,гастрономия
10303,семечки подсолнечника необжар очи,бакалея
7155,дск банан фасованный кг,овощи_и_фрукты
11323,салат оливье классический вес,кулинария
5483,биопродукт кисломолочный бифилайф грамм процент яблоко банан оао,молочка
2818,треска филе с м грамм,рыба
13278,пакет пятерочка х см,упаковка
12220,готовим дома маковая начинка грамм kф,бакалея
5308,сахар вес,бакалея
8810,дрожжи хлебоп пр,бакалея
11618,треблад смк,для_дома
669,пиво балтика светлое экспортное ж б,алкоголь
13500,о ф яблоко,овощи_и_фрукты
11974,бефстроганов,кафе
9885,к ц масло подсолн раф литр,бакалея
9462,вода святой источник спортик литр негазированный,напитки
6059,смесь для смузи б кл,молочка
5541,nesc кофе gold раст ст б грамм,чай_и_сладкое
12919,творог лакт столов фасован процент п эт грамм,молочка
9330,спортивные брюки,одежда_и_обувь
13680,чипсы лэйс бекон грамм,снеки
10118,пакет пнд см семья мкм,упаковка
6892,пакет магнит белый пластиктре,упаковка
10028,кефир кунгур ж процент грамм п э,молочка
10078,ветчина любительская ясная горка,гастрономия
8096,пюре говядина с мес грамм бабушкино лукошко,дети
6518,рис теплые традиции круглозерн,бакалея
1435,печенье овсяное грамм,чай_и_сладкое
10722,кон ликер филлс грамм,алкоголь
4575,томатная паста дней грамм,овощи_и_фрукты
5346,палитра,дети
8396,бмп сливки стер процент грамм,молочка
11639,tol pl салф влаж унив очищ штука,для_дома
11062,б п молочный пит пастеризованный процент мл,молочка
6775,майонез олив паспье,бакалея
13194,шампунь pantene pro v интен восстан,косметика
594,трк бензин аи к,машина
12382,вешалки рхатные ш,для_дома
5813,vici сурими палочки охлажденный любо есть грамм вичюнай ру,гастрономия
6231,тонк сыра,кафе
6100,прокладки ультра драй нормал штука kotex,здоровье
4379,гренки хрустеам острый сыр грамм,снеки
2174,мясн пр колбаса молочная гост ва,гастрономия
5321,сигареты тройка,табак
198,роллтон лапша по домашнему говядина грамм маревен,бакалея
7921,десерт венск цех тирамису грамм,чай_и_сладкое
1486,батон горчичный в с кг пакет кин,хлеб
12472,рожоk билла грамм,чай_и_сладкое
7779,йогуртdanone данис хрус шар карам процент,молочка
3011,пакет майка spar x,упаковка
13163,шар шоколадный chupa chups девочки грамм,чай_и_сладкое
2051,семечек стакан сем подсол обж,снеки
8817,сахар белый кристаллический фасованный кг,бакалея
5188,продукт кислом бифилайф процент грамм чернослив с мес бр гормол,молочка
13322,аkб huawei ap,компьютер
10779,биойог активиа пит процентчерника,молочка
285,сухарики хрустеам багет возд кор краб,снеки
4262,багет фацер пш ржан грамм,хлеб
7530,печень индейки грамм,гастрономия
